MKOA WA SIMIYU,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Mwandete,94,Itinje Mashariki,,1.9,1,,,4.0,2.0,6.0,140,7,147
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Budekwa,95,Mwahamala,,0.5,1,,,4.0,2.0,6.0,120,4,124
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Budekwa,96,Mwanyagula,,0.0,1,,,4.0,2.0,6.0,110,3,113
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Budekwa,97,Mwabalambu,,0.0,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Budekwa,98,Bushini,,1.0,1,,,3.0,2.0,5.0,65,5,70
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Budekwa,99,Nyambuyi,,2.0,1,,,4.0,2.0,6.0,120,3,123
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Kiloleli,100,Mwantondo,,1.2,,,,3.0,2.0,5.0,92,5,97
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Kiloleli,101,Mwabayanda,,0.0,1,,,2.0,1.0,3.0,40,4,44
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Kiloleli,102,Lubaga,,3.2,1,,,4.0,2.0,6.0,70,3,73
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Kiloleli,103,Ng'wagwikindika,,2.0,1,,,4.0,2.0,6.0,90,5,95
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Budekwa,Kiloleli,104,Kilungu,,0.0,1,,,4.0,2.0,6.0,94,4,98
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwamashindike,105,Lubalo,,1.2,1,,,4.0,3.0,7.0,100,8,108
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwamashindike,106,Busanda,,1.6,1,,,3.0,2.0,5.0,82,5,87
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwamashindike,107,Ishigamoto,,2.0,1,,,3.0,2.0,5.0,90,5,95
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwamashindike,108,Malula,,1.0,1,,,3.0,2.0,5.0,73,4,77
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwabaraturu,109,Mabambasi,,0.5,,1,,3.0,2.0,5.0,140,6,146
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwabaraturu,110,Nyalusanga,,4.2,1,,,3.0,2.0,5.0,90,4,94
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Mwabaratulu,Mwabaraturu,111,Mwatambuka,,2.0,1,,,4.0,2.0,6.0,116,5,121
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Masanwa,112,Mwalenda'A',,0.0,1,,,3.0,2.0,5.0,82,5,87
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Masanwa,113,Mwalenda'B',,0.0,,1,,4.0,2.0,6.0,150,7,157
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Masanwa,114,Mwantondo,,4.1,1,,,3.0,2.0,5.0,73,5,78
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Bushitala,115,Ng'hona,,4.2,1,,,3.0,2.0,5.0,74,3,77
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Bushitala,116,Ng'homango,,0.0,1,,,3.0,2.0,5.0,46,4,50
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Bushitala,117,Mlimani 'B',,4.2,1,,,3.0,2.0,5.0,60,5,65
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Busilili,Bushitala,118,Nyamigunga ,,0.0,1,,,3.0,2.0,5.0,55,4,59
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Buhungukila,119,Ng'wanza,,0.0,1,,,4.0,2.0,6.0,100,5,105
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Buhungukila,120,Wimate,,1.3,1,,,3.0,2.0,5.0,93,4,97
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Bugarama,121,Kisesa,,1.8,1,,,4.0,2.0,6.0,122,4,126
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Bugarama,122,Nkongolo,,3.2,1,,,4.0,2.0,6.0,106,6,112
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Ngudu,123,Itule,,0.9,1,,,4.0,2.0,6.0,147,5,152
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Ngudu,124,Gandelu,,2.1,1,,,3.0,2.0,5.0,77,4,81
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Ishima,125,Ilula,,1.7,1,,,3.0,2.0,5.0,75,4,79
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Bugarama,Ishima,126,Nkilifa,,1.6,1,,,4.0,2.0,6.0,75,5,80
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Hinduki,127,Mwamishimo,,1.5,1,,,4.0,2.0,6.0,76,5,81
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Hinduki,128,Sulu,,1.3,1,,,3.0,2.0,5.0,80,6,86
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Hinduki,129,Nyandekwa,,2.4,1,,,4.0,2.0,6.0,75,4,79
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Hinduki,130,Zimali,,1.5,1,,,4.0,2.0,6.0,86,5,91
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Mwadila,131,Bukingwa,,0.0,1,,,3.0,2.0,5.0,85,5,90
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sukuma,Mwadila,132,Mondo,,3.1,1,,,3.0,2.0,5.0,92,4,96
