MKOA WA KILIMANJARO ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Ndinyika,11,Kilimashimba,0.0,,1,,,1.8,0.8,2.5,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Kandashi,12,Kandashi,1.0,,1,,,2.1,0.9,3.0,40,2,42
Kilimanjaro,Siha,Siha DC,Siha,Biriri,Majengo,13,Bingati,1.5,,,,,1.4,0.6,2.0,35,2,37
Kilimanjaro,Siha,Siha DC,Siha,Biriri,Naibile,14,Sabuko,0.0,,1,,,1.8,0.8,2.5,32,2,34
Kilimanjaro,Siha,Siha DC,Siha,Biriri,Tindigani,15,Tindigani B,0.0,,,1,,1.4,0.6,2.0,40,2,42
Kilimanjaro,Siha,Siha DC,Siha,Biriri,Tindigani,16,Tindigani Kati,0.0,,1,,,2.1,0.9,3.0,30,2,32
Kilimanjaro,Siha,Siha DC,Siha,Makiwaru,Makiwaru,17,Makiwaru A,0.8,,1,,,2.1,0.9,3.0,20,2,22
Kilimanjaro,Siha,Siha DC,Siha,Makiwaru,Mowara,18,Makiwaru B,0.0,,,1,,1.4,0.6,2.0,30,2,32
Kilimanjaro,Siha,Siha DC,Siha,Makiwaru,Mowara,19,Serengeti,1.0,,1,,,2.8,1.2,4.0,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Olkolili,Olkolili,20,Olkolili,,1.2,1,,,2.1,0.9,3.0,30,2,32
Kilimanjaro,Siha,Siha DC,Siha,Olkolili,Olkolili,21,Songambele,,0.0,,1,,1.4,0.6,2.0,45,2,47
Kilimanjaro,Siha,Siha DC,Siha,Olkolili,Olkolili,22,Makao Mapya,,0.0,,,,2.5,1.1,3.5,60,2,62
Kilimanjaro,Siha,Siha DC,Siha,Olkolili,Mkombozi,23,Mkombozi B,,1.0,1,,,3.5,1.5,5.0,80,2,82
Kilimanjaro,Siha,Siha DC,Siha,Olkolili,Mkombozi,24,Isinoni,,2.3,,1,,2.8,1.2,4.0,70,2,72
Kilimanjaro,Siha,Siha DC,Siha,Ormelili,Ormelili,25,Mfumuni,,1.0,1,,,2.8,1.2,4.0,70,2,72
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Donyomurwak ,26,Donyomurwak ,1.5,,1,,,2.1,0.9,3.0,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Embukoi,27,Lepolosi,,2.8,2,,,2.1,0.9,3.0,40,2,42
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Embukoi,28,Eng'Aboli,,0.0,2,,,2.1,0.9,3.0,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Oloiwang,29,Oloiwang,,0.6,1,,,2.1,0.9,3.0,45,2,47
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Munge,30,Elerai A,,0.0,1,,,2.1,0.9,3.0,65,2,67
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Munge,31,Elerai B,,1.6,,1,,1.4,0.6,2.0,80,2,82
Kilimanjaro,Siha,Siha DC,Siha,Donyomurwak ,Munge,32,Elerai C,,3.0,1,,,2.1,0.9,3.0,74,2,76
Kilimanjaro,Siha,Siha DC,Siha,Ndumeti,Roselyne,33,Kambini,,0.0,1,,,1.3,0.6,1.9,25,2,27
Kilimanjaro,Siha,Siha DC,Siha,Nasai,Ngiriny,34,Tiriri,,0.0,1,,,2.1,0.9,3.0,78,2,80
Kilimanjaro,Siha,Siha DC,Siha,Nasai,Mae Juu,35,Lomate ,0.0,,1,,,2.1,0.9,3.0,46,2,48
Kilimanjaro,Siha,Siha DC,Siha,Ivaeny,Kishisha,36,Oringa A,0.5,,1,,,2.1,0.9,3.0,58,2,60
Kilimanjaro,Siha,Siha DC,Siha,Kashashi,Kashashi,37,Suhuni,0.0,,1,,,2.1,0.9,3.0,49,2,51
Kilimanjaro,Siha,Siha DC,Siha,Kashashi,Kirisha ,38,Ngasinyi,2.3,,,,,2.1,0.9,3.0,65,2,67
JUMLA NDOGO,,,,,,38,,16.3,13.5,28,8,0,82.4,35.3,117.7,"2,042",76,"2,118"
Kilimanjaro,Rombo,Rombo DC,Rombo,Mamsera,Mamsera Kati,1,Mbengoni,,1.2,,1,,1.4,0.6,2.0,34,2,36
Kilimanjaro,Rombo,Rombo DC,Rombo,Mamsera,Mamsera Kati,2,Kishingoni,,1.7,1,,,1.2,0.5,1.7,44,2,46
Kilimanjaro,Rombo,Rombo DC,Rombo,Mamsera,Mamsera Kati,3,Kwakisuma,,,1,,,1.4,0.6,2.0,25,2,27
Kilimanjaro,Rombo,Rombo DC,Rombo,Ngoyoni,Ngareni,4,Mwekio,,2.0,1,,,1.3,0.5,1.8,25,2,27
Kilimanjaro,Rombo,Rombo DC,Rombo,Aleni,Aleni Chini,5,Kibosou,,0.4,1,,,1.4,0.6,2.0,66,2,68
Kilimanjaro,Rombo,Rombo DC,Rombo,Aleni,Aleni Chini,6,Mandateni,,1.5,1,,,1.3,0.5,1.8,25,2,27
Kilimanjaro,Rombo,Rombo DC,Rombo,Aleni,Aleni Chini,7,Booni,,0.0,1,,,1.4,0.6,2.0,41,2,43
