MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,110,Kumkomakoma,,1.1,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,111,Muungano,,0.6,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,112,Mapambano,,0.3,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,113,Kayogela,,1.9,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,114,Kumsenga,,1.1,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,115,Kayogoro,,0.7,1,,,1.0,2.0,3.0,95,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,116,Kahambwe C,,1.0,,1,,1.0,2.0,3.0,128,2,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,117,Kafunzo A,,0.8,1,,,1.0,2.0,3.0,65,2,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,118,Kafunzo B,,0.0,1,,,1.0,2.0,3.0,85,1,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,119,Narubura A,,0.9,1,,,1.0,2.0,3.0,98,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Mugunzu,120,Majengo,,0.7,1,,,1.0,2.0,3.0,45,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kiduduye,121,Kumnazi,,1.1,1,,,1.0,2.0,3.0,90,2,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Kiduduye,122,Kumuhona,,0.6,1,,,1.0,2.0,3.0,80,2,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Mugunzu,Nyagwijima,123,Kateke B,,0.4,1,,,1.0,2.0,3.0,80,1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
