MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Mfyome,177,Matembo,6.5, ,1,,,1.2,1.8,3.0,35,2,37
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Mfyome,178,Mgega,6.8, ,1,,,1.0,1.5,2.5,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Kitapilimwa,179,Kinyamaduma,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Itagutwa,180,Mlenge,,0.0,,,,1.2,1.7,2.9,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Itagutwa,181,Kipengele,,0.0,,1,,1.2,1.8,3.0,53,3,56
Iringa,Iringa,Iringa DC,Kalenga,Kalenga,Tosamaganga,228,Unyangwila,,1.6,1,,,1.0,1.5,2.5,36,2,38
Iringa,Iringa,Iringa DC,Kalenga,Kalenga,Tosamaganga,229,Irangi,,0.0,1,,,1.4,2.0,3.4,35,2,37
Iringa,Iringa,Iringa DC,Ismani,Ilolo mpya,Mkombilenga,182,Mungano,,0.0,,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Ilolo mpya,Ukwega,183,Mawande,,0.0,1,,,1.0,1.4,2.4,32,2,34
Iringa,Iringa,Iringa DC,Ismani,Ilolo mpya,Ukwega,184,"Ukwega
",,0.0,,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Ismani,Ilolo mpya,Ukwega,185,Mtakuja,,0.0,,1,,1.2,1.8,3.0,44,2,46
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Igingilanyi,186,Ngongwa,4.7, ,1,,,1.2,1.7,2.9,34,2,36
Iringa,Iringa,Iringa DC,Ismani,Kising'a,Mkungugu,187,Kigasi A,,2.5,1,,,1.6,2.4,4.0,62,3,65
