MKOA WA MBEYA ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lumbe,143,Nsanga,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Ibungu,144,Kipya,,1.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Ibungu,145,Makata,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Ibungu,146,Meega,,2.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Nkunga,147,Ikama,,1.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Nkunga,148,Kitumba,,0.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Nkunga,149,Masugwa,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Nkunga,150,Ibolelo,,2.4,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Nkunga,151,Lugombo,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Isaka,152,Kasefuka,,2.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Isaka,153,Matale,,5.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,154,Bulale,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,155,Lubati,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,156,Mahenge,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,157,Nsanga,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,158,Ibambala,,2.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Ibililo,159,Matweli,,3.6,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lupepo,Mpombo,160,Kapiki,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lupepo,Mpombo,161,Minyala,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lupepo,Mpombo,162,Mianga,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Lupepo,Lupepo,163,Kigugu,,1.6,0,1,0,2.8,1.8,4.6,90,2,92
