MKOA WA RUKWA ,,,,,,,,Scope of works,,,,,,,,,,,TAPPING POINT,ACCESSIBILITY,,,REMAKS
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total,,CAR,M/C,FOOT,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,92,Kilyamatundu kati,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,93,Lupanga,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,94,Tewete,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,95,Majengo,-,-,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kipeta,Kilyamatundu ,96,Kalenje,-,0.0,1,,,1.4,0.6,2.0,50,5,55,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,97,Ulundo (Ilundo),-,-,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,98,Msomantembo,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,99,Mwenemtolo,-,0.3,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,100,Nkamba,-,0.8,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,101,Kapyamsanya,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,102,Nangoli,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,103,Maombwe,-,1.4,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Maleza,104,Ngola ,-,5.2,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,105,Tukuyu,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,106,Mabatini,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,107,Mpakani,-,1.2,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,108,Movu,-,0.0,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Kilangawana,109,Kilangawana Mjini,-,-,1,,,1.4,0.6,2.0,100,8,108,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,110,Mtukula,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,111,Elnino,-,0.3,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,112,Mabatini,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,113,Majengo,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,114,Chang’ombe,-,0.5,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Ilambo,115,Isinizya ,-,3.3,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,116,Kaloleni,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,117,Soweto,-,0.0,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Kilangawana,Mpande,118,Mpande,-,-,1,,,1.4,0.6,2.0,60,7,67,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,119,Majengo,-,-,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,120,Katindi,-,3.0,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,121,Kichangani,-,2.9,1,,,1.4,0.6,2.0,30,6,36,,,,,
Rukwa,Sumbawanga,Sumbawanga DC,Kwela,Mtowisa,Sontaukia,122,Sontaukia,-,-,1,,,1.4,0.6,2.0,60,5,65,,,,,
