Kagera, Muleba, Bisheke, Kiyebe 
Kagera, Muleba, Bisheke, Milanda 
Kagera, Muleba, Bisheke, Bisheko 
Kagera, Muleba, Bisheke, Mujunwa 
Kagera, Muleba, Burungura, Kakoma 
Kagera, Muleba, Burungura, Burungura 
Kagera, Muleba, Burungura, Bihanga 
Kagera, Muleba, Biirabo, Kanywagonge 
Kagera, Muleba, Biirabo, Bugarama 
Kagera, Muleba, Biirabo, Kihumulo 
Kagera, Muleba, Biirabo, Kabare 
Kagera, Muleba, Biirabo, Biirabo 
Kagera, Muleba, Biirabo, Katobago 
Kagera, Muleba, Mushabago, Omurunazi 
Kagera, Muleba, Mushabago, Kyanshenge 
Kagera, Muleba, Mushabago, Rushwa 
Kagera, Muleba, Nyakatanga, Biija 
Kagera, Muleba, Nyakatanga, Buhuma 
Kagera, Muleba, Nyakatanga, Nyakatanga 
Kagera, Muleba, Ngenge, Rwigembe 
Kagera, Muleba, Ngenge, Ngenge 
Kagera, Muleba, Ngenge, Kishuro 
Kagera, Muleba, Rutobo, Byengeregere 
Kagera, Muleba, Rutobo, Rutobo 
Kagera, Muleba, Rutobo, Mishambya 
Kagera, Muleba, Rutobo, Kyobuheke 
Kagera, Muleba, Kabirizi, Mikare 
Kagera, Muleba, Kabirizi, Kihwela 
Kagera, Muleba, Kabirizi, Kabirizi 
Kagera, Muleba, Kabirizi, Kashanda 
Kagera, Muleba, Nshamba, Nshamba 
Kagera, Muleba, Nshamba, Bunyagongo 
Kagera, Muleba, Nshamba, Rutenge 
Kagera, Muleba, Nshamba, Muzinga 
Kagera, Muleba, Nshamba, Itongo 
Kagera, Muleba, Kashasha, Rubya 
Kagera, Muleba, Kashasha, Rwagata 
Kagera, Muleba, Kashasha, Ihangiro 
Kagera, Muleba, Ijumbi, Nshambya 
Kagera, Muleba, Ijumbi, Ruhija 
Kagera, Muleba, Ijumbi, Rubao 
Kagera, Muleba, Ijumbi, Ijumbi 
Kagera, Muleba, Ijumbi, Ibare 
Kagera, Muleba, Kishanda, Kabulala 
